2020-10-20 21:30:56 INFO  BaseCase:27 - ====================打开app==========================
2020-10-20 21:31:08 INFO  BaseCase:27 - ====================打开app==========================
2020-10-20 21:31:19 INFO  BasePage:52 - 元素定位信息：By.xpath: //*[@content-desc="我的柠檬"]
2020-10-20 21:31:22 INFO  BasePage:52 - 元素定位信息：By.id: com.lemon.lemonban:id/fragment_my_lemon_avatar_title
2020-10-20 21:31:22 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_mobile
2020-10-20 21:31:24 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_password
2020-10-20 21:31:25 INFO  BasePage:52 - 元素定位信息：By.id: com.lemon.lemonban:id/btn_login
2020-10-20 21:31:25 INFO  BasePage:62 - 元素定位信息：By.xpath: //*[contains(@text,'错误的账号信息')]
2020-10-20 21:31:28 INFO  BasePage:52 - 元素定位信息：By.xpath: //*[@content-desc="我的柠檬"]
2020-10-20 21:31:28 INFO  BasePage:52 - 元素定位信息：By.id: com.lemon.lemonban:id/fragment_my_lemon_avatar_title
2020-10-20 21:31:29 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_mobile
2020-10-20 21:31:30 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_password
2020-10-20 21:31:32 INFO  BasePage:52 - 元素定位信息：By.id: com.lemon.lemonban:id/btn_login
2020-10-20 21:31:32 INFO  BasePage:62 - 元素定位信息：By.xpath: //*[contains(@text,'手机号码或密码不能为空1')]
2020-10-20 21:31:43 INFO  BasePage:52 - 元素定位信息：By.xpath: //*[@content-desc="我的柠檬"]
2020-10-20 21:31:44 INFO  BasePage:52 - 元素定位信息：By.id: com.lemon.lemonban:id/fragment_my_lemon_avatar_title
2020-10-20 21:31:44 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_mobile
2020-10-20 21:31:45 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_password
2020-10-20 21:31:47 INFO  BasePage:52 - 元素定位信息：By.id: com.lemon.lemonban:id/btn_login
2020-10-20 21:31:47 INFO  BasePage:62 - 元素定位信息：By.xpath: //*[contains(@text,'手机号码格式不正确')]
2020-10-20 21:31:48 INFO  BasePage:52 - 元素定位信息：By.xpath: //*[@content-desc="我的柠檬"]
2020-10-20 21:31:49 INFO  BasePage:52 - 元素定位信息：By.id: com.lemon.lemonban:id/fragment_my_lemon_avatar_title
2020-10-20 21:31:49 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_mobile
2020-10-20 21:31:51 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_password
2020-10-20 21:31:52 INFO  BasePage:52 - 元素定位信息：By.id: com.lemon.lemonban:id/btn_login
2020-10-20 21:31:52 INFO  BasePage:62 - 元素定位信息：By.xpath: //*[contains(@text,'手机号码或密码不能为空')]
2020-10-20 21:31:53 INFO  BasePage:52 - 元素定位信息：By.xpath: //*[@content-desc="我的柠檬"]
2020-10-20 21:31:54 INFO  BasePage:52 - 元素定位信息：By.id: com.lemon.lemonban:id/fragment_my_lemon_avatar_title
2020-10-20 21:31:55 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_mobile
2020-10-20 21:31:56 INFO  BasePage:42 - 元素定位信息：By.id: com.lemon.lemonban:id/et_password
